Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Дейнеко,Трохим,Адамович,Чоловіча,1989-02-18,Електрик,місто Броди,"площа Володі Дубініна, буд. 7 кв. 27, Старобільськ, 49950",+380 74 968-07-61,borystokar@example.org
Павленко,Соломон,Богодарович,Чоловіча,1944-01-24,Підприємець,селище Дубровиця,"узвіз Володимира Хавкіна, буд. 174 кв. 6, Бершадь, 45426",+380 75 320 22 51,panteleimon07@example.com
Ватаманюк,Василь,Володимирович,Чоловіча,1996-12-29,Ріелтор,місто Чортків,"шосе Лінія 52-га, буд. 363 кв. 643, Рожище, 02584",684-07-77,emiliiabaturynets@example.net
Семенченко,Гаврило,Святославович,Чоловіча,1966-05-01,Ювелір,селище Старобільськ,"провулок Контрадмірала Луніна, буд. 509, Самбір, 05657",+380 (54) 561-15-80,martynhavrylets@example.org
Вахній,Кирило,Дмитрович,Чоловіча,1948-09-20,Астронавт,хутір Білопілля,"парк 2-га Лінія 6-й ст. Люстдорфської дороги, буд. 92, Погребище, 60345",054 906 00 12,sheremetasviatoslav@example.com
Свистун,Станіслав,Владиславович,Чоловіча,1954-07-26,Архітектор,селище Ужгород,"шосе Героїв Крут, буд. 38 кв. 7, Березівка, 51470",+380 92 459-59-49,petro84@example.com
Сагаль,Амвросій,Георгійович,Чоловіча,1980-06-25,Підприємець,селище Вараш,"шосе Сашка Хорошенка, буд. 390 кв. 34, Золоте, 59255",+380 84 092-17-59,ieroshenkoviktoriia@example.net
Дацюк,Зиновій,Стефанович,Чоловіча,1966-11-25,М'ясник,селище Федорівка,"парк Прокатна, буд. 7 кв. 1, Сєвєродонецьк, 87489",500 36 59,viacheslavvlasenko@example.net
Зубко,Альберт,Леонтійович,Чоловіча,1951-06-21,Зоолог,місто Тараща,"проспект Партизанської Слави, буд. 4, Городок, 08002",+380 (37) 387-73-39,vbalaban@example.net
Худяк,Демид,Трохимович,Чоловіча,1965-02-12,Співак,селище Карлівка,"площа Мигдальна, буд. 5 кв. 065, Овруч, 93263",866 97 03,iaroshtetiana@example.net
Гавриленко,Соломон,Миронович,Чоловіча,1980-09-14,Геофізик,село Перещепине,"провулок Чернігівський, буд. 6 кв. 271, Снігурівка, 88865",+380 (76) 873-27-37,bpryimak@example.net
Зінчук,Азар,Єлисейович,Чоловіча,2004-05-02,Бібліотекар,хутір Перечин,"шосе Восьмого Березня Лінія 5-та, буд. 08, Малин, 54295",+380 (48) 813-97-66,ikonoplia@example.com
Канівець,Борис,Алевтинович,Чоловіча,1994-03-15,Бібліограф,хутір Гадяч,"шосе Заводська 1-ша, буд. 6, Дубно, 80683",386-30-06,anton62@example.net
Червоненко,Валентин,Олегович,Чоловіча,1964-08-17,Біолог,село Носівка,"провулок Черешнева, буд. 12, Зеленодольськ, 12058",000 170-30-03,yhavrylets@example.com
Бабиченко,Гаврило,Трохимович,Чоловіча,1961-07-26,Гицель,селище Джанкой,"парк Польська, буд. 45, Глобине, 29491",006 784-59-49,pruban@example.com
Масоха,Єфрем,Данилович,Чоловіча,1953-05-06,Продюсер,село Святогірськ,"узвіз Водний, буд. 512, Бердянськ, 28824",087 359 28 06,kostiantyn17@example.net
Гайворонський,Мирослав,Орестович,Чоловіча,1976-09-27,Географ,місто Голубівка,"проспект Рівності, буд. 8, Миргород, 61689",+380 50 064 87 77,artymyshynafrants@example.net
Бгиденко,Герман,Юстимович,Чоловіча,2006-09-25,Кінокритик,селище Молодогвардійськ,"парк Кедровий, буд. 3, П'ятихатки, 72773",938 76 30,ciushchenko@example.org
Устенко,Борислав,Ааронович,Чоловіча,1984-03-05,Професор,місто Іловайськ,"сквер Бессарабська, буд. 01, Голубівка, 40756",+380 16 261-55-49,ldziuba@example.org
Корсун,Алевтин,Петрович,Чоловіча,1952-03-13,Сантехнік,місто Чигирин,"провулок Олександра Матросова, буд. 4, Рені, 84208",455 01 84,atroshchenkobohdanna@example.net
Алексійчук,Тарас,Назарович,Чоловіча,1940-08-07,Круп'є,село Сніжне,"парк Магістральна, буд. 1 кв. 4, Миронівка, 73857",+380 32 370 02 02,boleslav71@example.net
Василевич,Лесь,Соломонович,Чоловіча,1953-12-25,Провізор,місто Лутугине,"парк Східчастий 3-й, буд. 579 кв. 83, Покровськ, 47946",+380 (53) 807-77-43,maksymchmil@example.com
Гайворонський,Герман,Юстимович,Чоловіча,1947-08-03,Кур'єр,хутір Святогірськ,"провулок Ланжерон, буд. 4, Хрустальний, 28496",+380 57 495-61-37,bohuslavbabii@example.org
Жук,Гордій,Соломонович,Чоловіча,1967-11-01,Електромонтажник,хутір Нововолинськ,"площа 14-та Суворовська, буд. 73, Старокостянтинів, 55824",+380 10 473 71 52,avhustyn40@example.org
Скопенко,Теодор,Віталійович,Чоловіча,1996-12-29,Кінолог,хутір Золотоноша,"сквер Східчастий, буд. 78 кв. 531, Сорокине, 33984",+380 58 400 56 66,niaremenko@example.com
Голик,Єлисей,Кирилович,Чоловіча,2004-08-26,Фотограф,селище Скадовськ,"сквер Могилівська, буд. 46, Коломия, 34518",092 946 43 18,ddrozd@example.org
Дейнеко,Давид,Ростиславович,Чоловіча,1962-05-21,Каскадер,хутір Стебник,"шосе Наявний 7-й, буд. 5, Соледар, 64972",+380 (01) 022-19-25,khomabandurka@example.org
Гаєвський,Мартин,Юстимович,Чоловіча,1970-11-15,Зоолог,хутір Чернігів,"сквер Складська, буд. 64 кв. 13, Галич, 07006",+380 32 766-39-33,mtymchuk@example.com
Вівчаренко,Артем,Романович,Чоловіча,1992-09-06,Фрілансер,село Хрустальний,"шосе Москвіна, буд. 42 кв. 99, Бунге , 05247",241 20 80,vasylynatsymbaliuk@example.org
Шовкопляс,Амвросій,Трохимович,Чоловіча,1999-07-07,Електрик,місто Світловодськ,"провулок Касима Юрія, буд. 658 кв. 255, Березань , 33023",+380 66 579-92-00,ielyseidemianchuk@example.net
Заєць,Станіслав,Соломонович,Чоловіча,1959-07-19,Бібліограф,селище Волочиськ,"парк Рівності, буд. 53 кв. 45, Білгород-Дністровський, 41155",+380 (69) 646-20-75,dashkevychrostyslav@example.net
Бездітко,Аврелій,Артемович,Чоловіча,1940-01-08,Електрослюсар,село Сновськ,"сквер Валіховський, буд. 349 кв. 304, Привілля, 80776",+380 59 966 31 94,sokhrimenko@example.net
Дутка,Юхим,Стефанович,Чоловіча,1957-08-02,Парфюмер,село Попасна,"парк Травневий 1-й, буд. 9 кв. 6, Монастирище, 03385",035 251-60-91,stepan43@example.net
Онищенко,Амвросій,Остапович,Чоловіча,1967-06-30,Астрофізик,місто Армянськ,"сквер Новобазарний, буд. 9 кв. 917, Нове Давидково, 87432",+380 56 285-87-43,hordii43@example.net
Власенко,Юстим,Йосипович,Чоловіча,1955-05-22,Мовознавець,місто Чорноморськ,"парк Китобійна, буд. 00 кв. 390, Гірське, 05188",021 047-55-48,solomon98@example.com
Шиян,Іван,Степанович,Чоловіча,1976-03-23,Головний меркшейдер,селище Моспине,"проспект Гранатний, буд. 7 кв. 620, Зимогір'я, 74756",195-57-80,petro26@example.com
Карпенко,Трохим,Андрійович,Чоловіча,1970-09-28,Секретар,селище Інкерман,"набережна Базарна, буд. 928, Армянськ, 32831",413 89 37,oksana06@example.net
Гайденко,Франц,Венедиктович,Чоловіча,1970-11-07,Літературознавець,село Хмельницький,"площа Колекційна, буд. 821 кв. 7, Ізяслав, 10831",+380 14 190-93-45,valeriichaban@example.net
